,1985,1995,2005,2015,2018
719,151.0,82.0,36.0,3.0,54.0
720,117.0,93.0,199.0,61.0,21.0
721,105.0,21.0,48.0,13.0,10.0
722,101.0,104.0,58.0,118.0,183.0
723,138.0,136.0,151.0,51.0,52.0
917,140.0,3.0,0.0,115.0,153.0
939,,,117.0,122.0,63.0
724,87.0,139.0,135.0,14.0,12.0
725,99.0,101.0,82.0,90.0,153.0
929,,,73.0,111.0,142.0
726,,,,,
727,99.0,108.0,61.0,117.0,144.0
1015,,,119.0,58.0,71.0
1100,,,,,
728,74.0,155.0,54.0,75.0,114.0
729,148.0,90.0,25.0,1.0,50.0
730,84.0,103.0,96.0,93.0,76.0
1172,,,,,
731,98.0,83.0,86.0,84.0,100.0
732,,99.0,99.0,53.0,71.0
922,,,151.0,81.0,28.0
1280,,,,,
733,195.0,74.0,3.0,0.0,54.0
1128,,,,,
734,101.0,133.0,33.0,40.0,102.0
1231,,,,,
735,111.0,102.0,55.0,85.0,138.0
1068,,,,,
1251,,,,,
736,111.0,142.0,53.0,68.0,74.0
737,,127.0,138.0,75.0,81.0
915,,,59.0,90.0,120.0
738,119.0,108.0,57.0,66.0,123.0
739,,111.0,138.0,72.0,42.0
740,116.0,117.0,52.0,79.0,83.0
741,,99.0,107.0,70.0,71.0
742,143.0,130.0,126.0,74.0,41.0
743,,,,,
744,120.0,110.0,111.0,79.0,38.0
1043,,,52.0,54.0,147.0
745,114.0,86.0,38.0,1.0,45.0
746,91.0,96.0,76.0,63.0,29.0
747,152.0,83.0,31.0,41.0,98.0
1060,,,142.0,65.0,42.0
748,156.0,70.0,14.0,1.0,115.0
749,108.0,95.0,81.0,81.0,67.0
751,97.0,99.0,90.0,91.0,150.0
752,159.0,91.0,31.0,3.0,118.0
753,,114.0,77.0,75.0,105.0
754,102.0,96.0,81.0,105.0,148.0
1169,,,,,
1034,,,204.0,68.0,54.0
755,279.0,123.0,98.0,0.0,0.0
756,113.0,62.0,86.0,4.0,20.0
757,254.0,98.0,139.0,53.0,31.0
759,117.0,88.0,64.0,26.0,40.0
760,98.0,105.0,54.0,98.0,132.0
1257,,,,,
912,,,9.0,0.0,112.0
783,,72.0,55.0,94.0,133.0
761,113.0,91.0,89.0,120.0,93.0
762,106.0,119.0,146.0,102.0,69.0
926,,,79.0,81.0,101.0
763,124.0,102.0,114.0,67.0,39.0
1167,,,,,
764,,117.0,73.0,97.0,110.0
765,90.0,95.0,122.0,127.0,110.0
767,114.0,126.0,65.0,48.0,51.0
766,,125.0,176.0,71.0,61.0
927,,,232.0,74.0,42.0
1132,,,,,
769,,134.0,70.0,52.0,39.0
770,113.0,92.0,81.0,79.0,75.0
771,98.0,133.0,165.0,41.0,39.0
985,,,0.0,100.0,400.0
772,73.0,69.0,84.0,64.0,78.0
773,,111.0,142.0,79.0,48.0
925,,,0.0,0.0,471.0
774,101.0,139.0,58.0,23.0,37.0
775,,139.0,148.0,76.0,80.0
776,,92.0,15.0,0.0,76.0
777,367.0,67.0,0.0,0.0,156.0
1117,,,,,
778,165.0,21.0,403.0,18.0,35.0
779,87.0,100.0,106.0,119.0,113.0
984,,,12.0,14.0,68.0
780,,134.0,175.0,72.0,51.0
781,113.0,90.0,78.0,122.0,150.0
782,110.0,122.0,73.0,43.0,78.0
784,59.0,158.0,125.0,40.0,39.0
786,98.0,108.0,110.0,67.0,56.0
787,101.0,115.0,80.0,88.0,125.0
788,115.0,137.0,14.0,12.0,84.0
789,127.0,16.0,63.0,11.0,56.0
1258,,,,,
790,103.0,104.0,108.0,77.0,89.0
791,136.0,121.0,31.0,33.0,118.0
792,99.0,125.0,81.0,100.0,81.0
793,,94.0,104.0,101.0,96.0
794,112.0,0.0,19.0,2.0,28.0
795,107.0,104.0,131.0,67.0,43.0
1009,,,67.0,119.0,115.0
901,,75.0,60.0,110.0,135.0
797,,133.0,209.0,71.0,50.0
798,92.0,116.0,88.0,113.0,93.0
800,123.0,101.0,91.0,46.0,53.0
955,,113.0,93.0,32.0,66.0
801,115.0,90.0,59.0,31.0,75.0
1194,,,,,
1052,,,136.0,36.0,31.0
802,103.0,99.0,100.0,102.0,84.0
1078,,,,,
1249,,,,,
803,161.0,89.0,48.0,54.0,124.0
804,124.0,100.0,18.0,22.0,102.0
967,,138.0,167.0,63.0,74.0
1248,,,,,
975,,,21.0,85.0,133.0
1077,,,,,
805,99.0,124.0,82.0,77.0,60.0
1012,,,33.0,6.0,120.0
806,116.0,122.0,76.0,88.0,129.0
807,,110.0,78.0,109.0,136.0
809,89.0,148.0,137.0,7.0,11.0
1247,,,,,
1168,,,,,
810,101.0,93.0,120.0,0.0,14.0
811,46,65,113,0,8
812,119.0,101.0,46.0,60.0,76.0
1266,,,,,
1013,,,112.0,77.0,69.0
813,81.0,123.0,82.0,81.0,86.0
951,170.0,115.0,161.0,127.0,194.0
814,,124.0,183.0,63.0,64.0
1226,,,,,
815,135.0,99.0,39.0,18.0,41.0
816,,126.0,89.0,74.0,124.0
817,,116.0,34.0,57.0,108.0
818,,93.0,14.0,105.0,81.0
819,,154.0,41.0,141.0,73.0
1097,,,,,
820,121.0,104.0,174.0,55.0,34.0
899,,102.0,19.0,0.0,94.0
821,138.0,97.0,53.0,55.0,68.0
893,,97.0,75.0,95.0,126.0
1136,,,,,
822,102.0,106.0,75.0,112.0,141.0
1044,,,0.0,0.0,338.0
1089,,,,84.0,112.0
934,,,129.0,126.0,19.0
823,103.0,87.0,124.0,92.0,84.0
1113,,,,,
824,160.0,103.0,26.0,37.0,75.0
825,101.0,100.0,84.0,73.0,75.0
826,95.0,132.0,129.0,78.0,92.0
827,,,,,
1083,,,,,
828,116.0,94.0,143.0,73.0,67.0
829,,123.0,135.0,100.0,57.0
1171,,,,,
830,97.0,112.0,63.0,85.0,71.0
